Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,WeekStatus,Day_of_week,Load_Type,Leading_Current_Power_Factor,Lagging_Current_Power_Factor
4.93,6.26,0.00,Weekday,Thursday,Light_Load,100.00,61.87
4.00,5.47,0.00,Weekday,Wednesday,Light_Load,100.00,59.03
3.78,6.80,0.00,Weekday,Thursday,Maximum_Load,100.00,48.59
12.49,3.02,12.92,Weekday,Monday,Medium_Load,69.50,97.20
3.06,1.08,5.22,Weekend,Saturday,Light_Load,50.57,94.30
3.02,5.65,0.00,Weekday,Friday,Light_Load,100.00,47.14
2.99,5.22,0.00,Weekend,Saturday,Light_Load,100.00,49.70
2.66,5.69,0.00,Weekday,Monday,Light_Load,100.00,42.35
5.18,0.00,25.99,Weekday,Monday,Medium_Load,19.55,100.00
3.35,2.48,0.00,Weekday,Monday,Light_Load,100.00,80.37
42.05,13.14,0.43,Weekday,Friday,Maximum_Load,99.99,95.45
60.88,31.57,0.00,Weekday,Thursday,Maximum_Load,100.00,88.77
3.13,2.77,0.00,Weekend,Saturday,Light_Load,100.00,74.89
55.01,31.75,0.00,Weekday,Monday,Medium_Load,100.00,86.61
55.84,31.25,0.00,Weekday,Monday,Maximum_Load,100.00,87.26
88.85,36.76,0.00,Weekday,Friday,Maximum_Load,100.00,92.40
3.78,0.00,25.88,Weekday,Monday,Medium_Load,14.45,100.00
9.68,0.00,25.34,Weekday,Friday,Medium_Load,35.69,100.00
33.52,0.58,3.24,Weekend,Saturday,Maximum_Load,99.54,99.99
3.56,0.00,17.28,Weekend,Sunday,Light_Load,20.18,100.00
51.19,48.92,0.00,Weekday,Friday,Light_Load,100.00,72.30
2.99,4.36,0.00,Weekday,Monday,Light_Load,100.00,56.56
2.92,5.72,0.00,Weekday,Monday,Light_Load,100.00,45.47
104.54,47.95,0.00,Weekday,Thursday,Medium_Load,100.00,90.89
4.93,0.00,20.20,Weekend,Sunday,Light_Load,23.71,100.00
3.06,5.76,0.00,Weekend,Sunday,Light_Load,100.00,46.92
52.81,28.22,0.00,Weekday,Tuesday,Maximum_Load,100.00,88.20
2.88,0.00,12.24,Weekend,Sunday,Medium_Load,22.90,100.00
48.42,16.27,0.00,Weekend,Sunday,Medium_Load,100.00,94.79
58.64,44.46,0.00,Weekday,Tuesday,Medium_Load,100.00,79.69
2.95,0.00,16.45,Weekday,Thursday,Light_Load,17.65,100.00
3.20,3.13,0.00,Weekday,Thursday,Light_Load,100.00,71.49
3.60,5.04,0.00,Weekday,Thursday,Medium_Load,100.00,58.12
125.10,50.22,0.00,Weekday,Thursday,Maximum_Load,100.00,92.80
2.95,4.68,0.00,Weekday,Monday,Light_Load,100.00,53.32
2.48,2.05,2.27,Weekday,Tuesday,Light_Load,73.76,77.08
3.82,0.00,16.34,Weekday,Friday,Medium_Load,22.76,100.00
58.25,27.25,0.00,Weekday,Friday,Maximum_Load,100.00,90.58
5.00,0.00,18.18,Weekday,Thursday,Medium_Load,26.52,100.00
42.77,17.86,0.00,Weekday,Thursday,Medium_Load,100.00,92.28
68.47,44.28,0.00,Weekday,Monday,Medium_Load,100.00,83.97
3.10,0.00,15.95,Weekend,Sunday,Light_Load,19.08,100.00
4.43,4.61,0.00,Weekday,Monday,Light_Load,100.00,69.29
4.07,5.87,0.00,Weekday,Thursday,Light_Load,100.00,56.98
58.79,33.62,0.00,Weekday,Friday,Maximum_Load,100.00,86.81
5.15,0.00,25.70,Weekend,Sunday,Light_Load,19.65,100.00
59.76,16.96,0.00,Weekday,Thursday,Medium_Load,100.00,96.20
4.97,9.22,0.00,Weekday,Thursday,Medium_Load,100.00,47.45
56.74,24.62,0.00,Weekend,Saturday,Maximum_Load,100.00,91.74
6.34,0.86,13.75,Weekend,Saturday,Medium_Load,41.87,99.09
5.80,5.26,0.00,Weekday,Tuesday,Light_Load,100.00,74.07
3.92,0.00,20.74,Weekend,Saturday,Light_Load,18.57,100.00
48.28,24.44,0.00,Weekday,Wednesday,Medium_Load,100.00,89.22
4.75,0.00,21.10,Weekend,Saturday,Maximum_Load,21.96,100.00
64.87,31.50,0.00,Weekday,Thursday,Maximum_Load,100.00,89.96
2.70,5.00,0.00,Weekend,Saturday,Light_Load,100.00,47.51
3.28,4.68,0.00,Weekday,Wednesday,Light_Load,100.00,57.39
51.08,17.68,0.00,Weekday,Thursday,Medium_Load,100.00,94.50
57.28,26.17,0.00,Weekday,Friday,Maximum_Load,100.00,90.96
3.28,0.00,13.64,Weekend,Saturday,Light_Load,23.38,100.00
3.31,3.74,0.00,Weekday,Monday,Light_Load,100.00,66.27
5.33,5.80,0.00,Weekday,Thursday,Light_Load,100.00,67.66
56.66,32.62,0.00,Weekday,Friday,Maximum_Load,100.00,86.66
5.22,6.12,0.00,Weekday,Tuesday,Light_Load,100.00,64.89
9.83,3.35,9.76,Weekend,Saturday,Medium_Load,70.96,94.65
40.10,3.13,0.40,Weekday,Thursday,Medium_Load,100.00,99.70
58.79,29.66,0.00,Weekday,Monday,Medium_Load,100.00,89.28
67.36,33.98,0.00,Weekday,Tuesday,Maximum_Load,100.00,89.28
30.35,0.54,2.02,Weekend,Sunday,Maximum_Load,99.78,99.98
59.36,46.84,0.00,Weekday,Thursday,Maximum_Load,100.00,78.50
90.58,19.87,0.50,Weekend,Sunday,Medium_Load,100.00,97.68
3.06,2.38,0.00,Weekday,Wednesday,Light_Load,100.00,78.94
32.69,9.07,4.39,Weekday,Monday,Maximum_Load,99.11,96.36
3.31,0.00,4.50,Weekend,Sunday,Light_Load,59.25,100.00
3.28,2.27,0.11,Weekend,Saturday,Light_Load,99.94,82.23
2.56,5.51,0.00,Weekday,Wednesday,Light_Load,100.00,42.14
48.92,46.26,0.00,Weekday,Friday,Light_Load,100.00,72.66
71.42,12.49,0.00,Weekday,Tuesday,Medium_Load,100.00,98.51
52.42,18.25,0.00,Weekday,Wednesday,Medium_Load,100.00,94.44
3.13,0.00,16.60,Weekend,Sunday,Light_Load,18.53,100.00
86.98,45.97,0.00,Weekday,Friday,Maximum_Load,100.00,88.41
2.95,0.00,11.41,Weekend,Saturday,Light_Load,25.03,100.00
69.16,21.38,0.00,Weekday,Thursday,Maximum_Load,100.00,95.54
2.77,5.47,0.00,Weekday,Wednesday,Medium_Load,100.00,45.18
5.18,0.00,26.78,Weekday,Wednesday,Medium_Load,18.99,100.00
3.02,0.00,14.72,Weekend,Sunday,Light_Load,20.10,100.00
3.06,0.00,12.64,Weekend,Sunday,Light_Load,23.53,100.00
10.22,0.11,5.47,Weekend,Sunday,Medium_Load,88.17,99.99
81.58,26.78,0.00,Weekday,Tuesday,Medium_Load,100.00,95.01
68.51,30.53,0.00,Weekday,Tuesday,Medium_Load,100.00,91.34
5.08,4.82,0.00,Weekday,Thursday,Medium_Load,100.00,72.54
2.77,4.54,0.00,Weekend,Sunday,Light_Load,100.00,52.08
3.92,5.29,0.00,Weekday,Wednesday,Light_Load,100.00,59.54
3.53,4.57,0.00,Weekday,Thursday,Light_Load,100.00,61.13
4.79,0.00,19.26,Weekday,Wednesday,Medium_Load,24.13,100.00
41.69,22.28,0.00,Weekend,Saturday,Medium_Load,100.00,88.20
3.60,0.00,13.68,Weekend,Saturday,Light_Load,25.45,100.00
19.22,5.54,18.90,Weekday,Tuesday,Medium_Load,71.30,96.09
3.10,3.64,0.00,Weekend,Saturday,Light_Load,100.00,64.84
2.77,5.22,0.00,Weekend,Sunday,Light_Load,100.00,46.87
92.56,52.16,0.00,Weekday,Monday,Maximum_Load,100.00,87.12
55.87,26.89,0.00,Weekday,Monday,Medium_Load,100.00,90.11
3.28,0.00,16.96,Weekend,Sunday,Light_Load,18.99,100.00
90.86,15.52,0.14,Weekday,Friday,Maximum_Load,100.00,98.57
77.51,43.70,0.00,Weekday,Thursday,Maximum_Load,100.00,87.11
2.56,5.29,0.00,Weekday,Wednesday,Light_Load,100.00,43.56
62.93,33.08,0.00,Weekday,Wednesday,Medium_Load,100.00,88.52
2.74,5.11,0.00,Weekday,Monday,Light_Load,100.00,47.26
71.39,25.20,0.00,Weekday,Monday,Medium_Load,100.00,94.30
3.02,0.00,14.51,Weekend,Sunday,Light_Load,20.38,100.00
110.52,49.18,0.00,Weekday,Tuesday,Medium_Load,100.00,91.36
2.66,5.29,0.00,Weekend,Sunday,Light_Load,100.00,44.92
3.35,4.43,0.00,Weekday,Thursday,Light_Load,100.00,60.32
3.49,4.00,0.00,Weekday,Friday,Light_Load,100.00,65.74
2.99,3.67,0.00,Weekday,Thursday,Light_Load,100.00,63.16
4.97,8.68,0.00,Weekday,Monday,Maximum_Load,100.00,49.69
84.92,69.70,0.00,Weekday,Monday,Light_Load,100.00,77.30
95.26,32.15,0.00,Weekday,Friday,Medium_Load,100.00,94.75
3.10,4.36,0.00,Weekday,Monday,Light_Load,100.00,57.95
2.70,4.75,0.00,Weekend,Sunday,Light_Load,100.00,49.42
129.85,63.86,0.00,Weekday,Friday,Maximum_Load,100.00,89.74
2.95,4.03,0.00,Weekday,Tuesday,Light_Load,100.00,59.07
114.80,40.25,0.00,Weekday,Tuesday,Maximum_Load,100.00,94.37
6.41,0.00,21.10,Weekday,Wednesday,Medium_Load,29.07,100.00
106.52,42.95,0.00,Weekday,Friday,Medium_Load,100.00,92.74
3.28,2.59,0.00,Weekday,Friday,Light_Load,100.00,78.48
3.17,6.48,0.00,Weekday,Thursday,Light_Load,100.00,43.94
35.14,8.39,0.00,Weekend,Saturday,Medium_Load,100.00,97.27
65.92,27.18,0.00,Weekday,Tuesday,Medium_Load,100.00,92.45
4.21,0.00,17.78,Weekend,Sunday,Light_Load,23.04,100.00
4.21,3.64,0.04,Weekday,Wednesday,Light_Load,100.00,75.65
2.74,0.00,17.32,Weekend,Saturday,Light_Load,15.63,100.00
95.33,47.27,0.00,Weekend,Saturday,Maximum_Load,100.00,89.59
82.62,20.77,0.58,Weekday,Tuesday,Medium_Load,100.00,96.98
3.42,4.25,0.00,Weekday,Friday,Light_Load,100.00,62.69
59.69,19.98,0.00,Weekday,Wednesday,Maximum_Load,100.00,94.83
2.81,0.04,10.69,Weekend,Sunday,Light_Load,25.42,99.99
3.38,5.76,0.00,Weekday,Thursday,Medium_Load,100.00,50.61
3.10,3.71,0.00,Weekday,Monday,Light_Load,100.00,64.12
82.48,34.16,0.00,Weekday,Monday,Medium_Load,100.00,92.39
3.24,4.64,0.00,Weekend,Sunday,Light_Load,100.00,57.25
3.60,3.31,0.00,Weekday,Wednesday,Light_Load,100.00,73.61
88.60,12.64,0.00,Weekend,Saturday,Maximum_Load,100.00,99.00
3.82,0.00,22.64,Weekday,Monday,Medium_Load,16.64,100.00
111.35,42.23,0.00,Weekday,Monday,Medium_Load,100.00,93.50
3.13,5.29,0.00,Weekday,Thursday,Light_Load,100.00,50.92
67.75,32.11,0.00,Weekday,Monday,Medium_Load,100.00,90.36
2.59,4.57,0.00,Weekend,Saturday,Medium_Load,100.00,49.31
4.61,0.00,13.90,Weekday,Thursday,Medium_Load,31.48,100.00
3.96,2.34,0.58,Weekday,Wednesday,Light_Load,98.94,86.09
3.24,6.19,0.18,Weekday,Friday,Medium_Load,99.85,46.37
49.28,50.94,0.00,Weekday,Friday,Light_Load,100.00,69.53
69.88,34.02,0.00,Weekday,Thursday,Maximum_Load,100.00,89.91
4.00,3.78,0.00,Weekend,Saturday,Light_Load,100.00,72.68
92.41,31.28,0.00,Weekend,Saturday,Maximum_Load,100.00,94.72
3.02,6.44,0.00,Weekday,Thursday,Light_Load,100.00,42.46
4.10,0.00,21.35,Weekday,Monday,Light_Load,18.86,100.00
3.38,2.77,0.00,Weekend,Sunday,Light_Load,100.00,77.34
2.81,6.23,0.00,Weekday,Friday,Light_Load,100.00,41.12
100.58,29.88,0.00,Weekend,Saturday,Medium_Load,100.00,95.86
3.82,0.00,20.59,Weekday,Tuesday,Medium_Load,18.24,100.00
62.10,18.94,0.00,Weekday,Monday,Medium_Load,100.00,95.65
3.92,6.19,0.00,Weekday,Friday,Light_Load,100.00,53.50
2.63,4.46,0.00,Weekend,Sunday,Light_Load,100.00,50.79
64.91,40.57,0.00,Weekday,Thursday,Maximum_Load,100.00,84.80
32.87,12.35,2.12,Weekday,Monday,Medium_Load,99.79,93.61
3.64,4.79,0.00,Weekday,Friday,Medium_Load,100.00,60.50
140.04,63.25,0.00,Weekday,Tuesday,Maximum_Load,100.00,91.14
50.18,46.58,0.00,Weekend,Sunday,Light_Load,100.00,73.29
28.98,23.04,0.00,Weekend,Saturday,Light_Load,100.00,78.28
59.76,18.18,0.00,Weekday,Wednesday,Medium_Load,100.00,95.67
3.56,4.75,0.00,Weekday,Thursday,Light_Load,100.00,59.97
5.44,0.00,19.08,Weekday,Monday,Medium_Load,27.42,100.00
37.33,29.02,0.00,Weekday,Tuesday,Light_Load,100.00,78.95
6.88,4.07,0.00,Weekday,Tuesday,Light_Load,100.00,86.07
3.60,3.64,0.00,Weekday,Tuesday,Light_Load,100.00,70.32
59.72,18.04,0.00,Weekday,Monday,Maximum_Load,100.00,95.73
2.66,0.00,11.74,Weekday,Wednesday,Light_Load,22.10,100.00
2.92,4.25,0.00,Weekend,Saturday,Light_Load,100.00,56.63
2.74,4.97,0.00,Weekday,Monday,Light_Load,100.00,48.28
106.45,44.46,0.00,Weekday,Tuesday,Maximum_Load,100.00,92.28
52.45,23.04,3.82,Weekday,Tuesday,Medium_Load,99.74,91.56
2.70,5.26,0.00,Weekday,Wednesday,Light_Load,100.00,45.67
7.13,0.00,21.28,Weekday,Wednesday,Medium_Load,31.77,100.00
96.34,39.85,0.00,Weekday,Monday,Maximum_Load,100.00,92.41
62.21,28.98,0.00,Weekday,Wednesday,Maximum_Load,100.00,90.65
15.95,0.00,9.40,Weekday,Tuesday,Maximum_Load,86.15,100.00
3.71,3.20,0.04,Weekday,Wednesday,Light_Load,99.99,75.72
78.26,37.94,0.00,Weekend,Sunday,Maximum_Load,100.00,89.98
2.70,4.82,0.00,Weekday,Wednesday,Light_Load,100.00,48.87
3.42,3.64,0.00,Weekday,Friday,Light_Load,100.00,68.47
3.31,4.57,0.00,Weekday,Thursday,Light_Load,100.00,58.66
81.86,65.52,0.00,Weekday,Tuesday,Light_Load,100.00,78.07
39.06,37.98,0.00,Weekday,Friday,Light_Load,100.00,71.69
50.69,36.72,0.00,Weekday,Monday,Maximum_Load,100.00,80.98
43.99,20.52,0.00,Weekday,Thursday,Maximum_Load,100.00,90.63
3.71,0.00,13.82,Weekend,Saturday,Light_Load,25.93,100.00
3.74,0.00,22.32,Weekday,Thursday,Light_Load,16.53,100.00
102.20,46.69,0.00,Weekday,Tuesday,Maximum_Load,100.00,90.96
65.20,34.34,0.00,Weekday,Friday,Maximum_Load,100.00,88.48
88.56,46.84,0.00,Weekday,Tuesday,Medium_Load,100.00,88.40
